Problem Name	Problem Link	Topic	Solution Link	Difficulty
House Robber	https://leetcode.com/problems/house-robber/	Dynamic	https://leetcode.com/problems/house-robber/	Medium
House Robber II	https://leetcode.com/problems/house-robber-ii/	Dynamic	https://leetcode.com/problems/house-robber-ii/	Medium
Decode Ways	https://leetcode.com/problems/decode-ways/	Dynamic	https://leetcode.com/problems/decode-ways/	Medium
Unique Paths	https://leetcode.com/problems/unique-paths/	Dynamic	https://leetcode.com/problems/unique-paths/	Medium
Jump Game	https://leetcode.com/problems/jump-game/	Dynamic	https://leetcode.com/problems/jump-game/	Medium
Clone Graph	https://leetcode.com/problems/clone-graph/	Graph	https://leetcode.com/problems/clone-graph/	Medium
Course Schedule	https://leetcode.com/problems/course-schedule/	Graph	https://leetcode.com/problems/course-schedule/	Medium
Pacific Atlantic Water Flow	https://leetcode.com/problems/pacific-atlantic-water-flow/	Graph	https://leetcode.com/problems/pacific-atlantic-water-flow/	Medium
Number of Islands	https://leetcode.com/problems/number-of-islands/	Graph	https://leetcode.com/problems/number-of-islands/	Medium
Longest Consecutive Sequence	https://leetcode.com/problems/longest-consecutive-sequence/	Graph	https://leetcode.com/problems/longest-consecutive-sequence/	Medium
Alien Dictionary	https://leetcode.com/problems/alien-dictionary/	Graph	https://leetcode.com/problems/alien-dictionary/	Hard
Graph Valid Tree	https://leetcode.com/problems/graph-valid-tree/	Graph	https://leetcode.com/problems/graph-valid-tree/	Medium
Number of Connected Components in Undirected Graph	https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/	Graph	https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/	Medium
Insert Interval	https://leetcode.com/problems/insert-interval/	Interval	https://leetcode.com/problems/insert-interval/	Medium
Merge Intervals	https://leetcode.com/problems/merge-intervals/	Interval	https://leetcode.com/problems/merge-intervals/	Medium
Non-overlapping Intervals	https://leetcode.com/problems/non-overlapping-intervals/	Interval	https://leetcode.com/problems/non-overlapping-intervals/	Medium
Meeting Rooms	https://leetcode.com/problems/meeting-rooms/	Interval	https://leetcode.com/problems/meeting-rooms/	Easy
Meeting Rooms II	https://leetcode.com/problems/meeting-rooms-ii/	Interval	https://leetcode.com/problems/meeting-rooms-ii/	Medium
Reverse a Linked List	https://leetcode.com/problems/reverse-linked-list/	Linked List	https://leetcode.com/problems/reverse-linked-list/	Easy
Detect Cycle in a Linked List	https://leetcode.com/problems/linked-list-cycle/	Linked List	https://leetcode.com/problems/linked-list-cycle/	Easy
Merge Two Sorted Lists	https://leetcode.com/problems/merge-two-sorted-lists/	Linked List	https://leetcode.com/problems/merge-two-sorted-lists/	Easy
Merge K Sorted Lists	https://leetcode.com/problems/merge-k-sorted-lists/	Linked List	https://leetcode.com/problems/merge-k-sorted-lists/	Hard
Remove Nth Node From End of List	https://leetcode.com/problems/remove-nth-node-from-end-of-list/	Linked List	https://leetcode.com/problems/remove-nth-node-from-end-of-list/	Medium
Reorder List	https://leetcode.com/problems/reorder-list/	Linked List	https://leetcode.com/problems/reorder-list/	Medium
Set Matrix Zeroes	https://leetcode.com/problems/set-matrix-zeroes/	Matrix	https://leetcode.com/problems/set-matrix-zeroes/	Medium
Spiral Matrix	https://leetcode.com/problems/spiral-matrix/	Matrix	https://leetcode.com/problems/spiral-matrix/	Medium
Rotate Image	https://leetcode.com/problems/rotate-image/	Matrix	https://leetcode.com/problems/rotate-image/	Medium
Word Search	https://leetcode.com/problems/word-search/	Matrix	https://leetcode.com/problems/word-search/	Medium
Longest Substring w/o Repeating Characters	https://leetcode.com/problems/longest-substring-without-repeating-characters/	String	https://leetcode.com/problems/longest-substring-without-repeating-characters/	Medium
Longest Repeating Character Replacement	https://leetcode.com/problems/longest-repeating-character-replacement/	String	https://leetcode.com/problems/longest-repeating-character-replacement/	Medium
Minimum Window Substring	https://leetcode.com/problems/minimum-window-substring/	String	https://leetcode.com/problems/minimum-window-substring/	Hard
Valid Anagram	https://leetcode.com/problems/valid-anagram/	String	https://leetcode.com/problems/valid-anagram/	Easy
Group Anagrams	https://leetcode.com/problems/group-anagrams/	String	https://leetcode.com/problems/group-anagrams/	Medium
Valid Parentheses	https://leetcode.com/problems/valid-parentheses/	String	https://leetcode.com/problems/valid-parentheses/	Easy
Valid Palindrome	https://leetcode.com/problems/valid-palindrome/	String	https://leetcode.com/problems/valid-palindrome/	Easy
Longest Palindromic Substring	https://leetcode.com/problems/longest-palindromic-substring/	String	https://leetcode.com/problems/longest-palindromic-substring/	Medium
Palindromic Substrings	https://leetcode.com/problems/palindromic-substrings/	String	https://leetcode.com/problems/palindromic-substrings/	Medium
Encode and Decode Strings	https://leetcode.com/problems/encode-and-decode-strings/	String	https://leetcode.com/problems/encode-and-decode-strings/	Medium
Maximum Depth of Binary Tree	https://leetcode.com/problems/maximum-depth-of-binary-tree/	Tree	https://leetcode.com/problems/maximum-depth-of-binary-tree/	Easy
Same Tree	https://leetcode.com/problems/same-tree/	Tree	https://leetcode.com/problems/same-tree/	Easy
Invert/Flip Binary Tree	https://leetcode.com/problems/invert-binary-tree/	Tree	https://leetcode.com/problems/invert-binary-tree/	Easy
Binary Tree Maximum Path Sum	https://leetcode.com/problems/binary-tree-maximum-path-sum/	Tree	https://leetcode.com/problems/binary-tree-maximum-path-sum/	Hard
Binary Tree Level Order Traversal	https://leetcode.com/problems/binary-tree-level-order-traversal/	Tree	https://leetcode.com/problems/binary-tree-level-order-traversal/	Medium
Serialize and Deserialize Binary Tree	https://leetcode.com/problems/serialize-and-deserialize-binary-tree/	Tree	https://leetcode.com/problems/serialize-and-deserialize-binary-tree/	Hard
Subtree of Another Tree	https://leetcode.com/problems/subtree-of-another-tree/	Tree	https://leetcode.com/problems/subtree-of-another-tree/	Easy
Construct Binary Tree from Preorder and Inorder Traversal	https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/	Tree	https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/	Medium
Validate Binary Search Tree	https://leetcode.com/problems/validate-binary-search-tree/	Tree	https://leetcode.com/problems/validate-binary-search-tree/	Medium
Kth Smallest Element in a BST	https://leetcode.com/problems/kth-smallest-element-in-a-bst/	Tree	https://leetcode.com/problems/kth-smallest-element-in-a-bst/	Medium
Lowest Common Ancestor of BST	https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/	Tree	https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/	Easy
Implement Trie (Prefix Tree)	https://leetcode.com/problems/implement-trie-prefix-tree/	Tree	https://leetcode.com/problems/implement-trie-prefix-tree/	Medium
Add and Search Word	https://leetcode.com/problems/add-and-search-word-data-structure-design/	Tree	https://leetcode.com/problems/add-and-search-word-data-structure-design/	Medium
Word Search II	https://leetcode.com/problems/word-search-ii/	Tree	https://leetcode.com/problems/word-search-ii/	Hard
Merge K Sorted Lists	https://leetcode.com/problems/merge-k-sorted-lists/	Heap	https://leetcode.com/problems/merge-k-sorted-lists/	Hard
Top K Frequent Elements	https://leetcode.com/problems/top-k-frequent-elements/	Heap	https://leetcode.com/problems/top-k-frequent-elements/	Medium
Find Median from Data Stream	https://leetcode.com/problems/find-median-from-data-stream/	Heap	https://leetcode.com/problems/find-median-from-data-stream/	Hard
