Problem Name	Problem Link	Topic	Solution Link	Difficulty
Best Time to Buy And Sell Stock	https://leetcode.com/problems/best-time-to-buy-and-sell-stock/	Sliding Window	https://www.youtube.com/watch?v=CCQBvgPages	Easy
Longest Substring Without Repeating Characters	https://leetcode.com/problems/longest-substring-without-repeating-characters/	Sliding Window	https://www.youtube.com/watch?v=RMQ-gRQAY0o	Medium
Longest Repeating Character Replacement	https://leetcode.com/problems/longest-repeating-character-replacement/	Sliding Window	https://www.youtube.com/watch?v=FYyWsqFjkZk	Medium
Permutation In String	https://leetcode.com/problems/permutation-in-string/	Sliding Window	https://www.youtube.com/watch?v=mIorIJvhl8E	Medium
Minimum Window Substring	https://leetcode.com/problems/minimum-window-substring/	Sliding Window	https://www.youtube.com/watch?v=tMx5JZSBWIE	Hard
Sliding Window Maximum	https://leetcode.com/problems/sliding-window-maximum/	Sliding Window	https://www.youtube.com/watch?v=GIYk1wit12k	Hard
Valid Parentheses	https://leetcode.com/problems/valid-parentheses/	Stack	https://www.youtube.com/watch?v=D4l9TK0tWcI	Easy
Min Stack	https://leetcode.com/problems/min-stack/	Stack	https://www.youtube.com/watch?v=To2iap-ac3g	Medium
Evaluate Reverse Polish Notation	https://leetcode.com/problems/evaluate-reverse-polish-notation/	Stack	https://www.youtube.com/watch?v=vDRZN5i4b8U	Medium
Generate Parentheses	https://leetcode.com/problems/generate-parentheses/	Stack	https://www.youtube.com/watch?v=VzMyeCMLdPI	Medium
Daily Temperatures	https://leetcode.com/problems/daily-temperatures/	Stack	https://www.youtube.com/watch?v=jmuo4BBfl3I	Medium
Car Fleet	https://leetcode.com/problems/car-fleet/	Stack	https://www.youtube.com/watch?v=TPSiTAFhszA	Medium
Largest Rectangle In Histogram	https://leetcode.com/problems/largest-rectangle-in-histogram/	Stack	https://www.youtube.com/watch?v=IasMlShanvc	Hard
Binary Search	https://leetcode.com/problems/binary-search/	Binary Search	https://www.youtube.com/watch?v=t3yPHFyKxr4	Easy
Search a 2D Matrix	https://leetcode.com/problems/search-a-2d-matrix/	Binary Search	https://www.youtube.com/watch?v=dP4cb8zbohY	Medium
Koko Eating Bananas	https://leetcode.com/problems/koko-eating-bananas/	Binary Search	https://www.youtube.com/watch?v=3m3QZeiH3KI	Medium
Find Minimum In Rotated Sorted Array	https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/	Binary Search	https://www.youtube.com/watch?v=Dr69TSfv9JI	Medium
Search In Rotated Sorted Array	https://leetcode.com/problems/search-in-rotated-sorted-array/	Binary Search	https://www.youtube.com/watch?v=sE_4DzVc71w	Medium
Time Based Key Value Store	https://leetcode.com/problems/time-based-key-value-store/	Binary Search	https://www.youtube.com/watch?v=u08L8DaDoOU	Medium
Median of Two Sorted Arrays	https://leetcode.com/problems/median-of-two-sorted-arrays/	Binary Search	https://www.youtube.com/watch?v=LRM4qiHLYCE	Hard
Reverse Linked List	https://leetcode.com/problems/reverse-linked-list/	Linked List	https://www.youtube.com/watch?v=FHhItaCZ2pE	Easy
Merge Two Sorted Lists	https://leetcode.com/problems/merge-two-sorted-lists/	Linked List	https://www.youtube.com/watch?v=Bwymxn-n6XA	Easy
Reorder List	https://leetcode.com/problems/reorder-list/	Linked List	https://www.youtube.com/watch?v=lBdS4AV1EGw	Medium
Remove Nth Node From End of List	https://leetcode.com/problems/remove-nth-node-from-end-of-list/	Linked List	https://www.youtube.com/watch?v=hZtAW3cp8vQ	Medium
Copy List With Random Pointer	https://leetcode.com/problems/copy-list-with-random-pointer/	Linked List	https://www.youtube.com/watch?v=vy7ZJ4TdyS8	Medium
Add Two Numbers	https://leetcode.com/problems/add-two-numbers/	Linked List	https://www.youtube.com/watch?v=MYtp__JpTns	Medium
Linked List Cycle	https://leetcode.com/problems/linked-list-cycle/	Linked List	https://www.youtube.com/watch?v=k-gTqlOBT1g	Easy
Find The Duplicate Number	https://leetcode.com/problems/find-the-duplicate-number/	Linked List	https://www.youtube.com/watch?v=Lu3if4xOA1s	Medium
LRU Cache	https://leetcode.com/problems/lru-cache/	Linked List	https://www.youtube.com/watch?v=VPq5dlxaeP8	Medium
Merge K Sorted Lists	https://leetcode.com/problems/merge-k-sorted-lists/	Linked List	https://www.youtube.com/watch?v=SlKgDtpJnxg	Hard
Reverse Nodes In K Group	https://leetcode.com/problems/reverse-nodes-in-k-group/	Linked List	https://www.youtube.com/watch?v=P9_K8M4nnf0	Hard
Invert Binary Tree	https://leetcode.com/problems/invert-binary-tree/	Trees	https://www.youtube.com/watch?v=yb2Y9h2YWio	Easy
Maximum Depth of Binary Tree	https://leetcode.com/problems/maximum-depth-of-binary-tree/	Trees	https://www.youtube.com/watch?v=IAMk9ZSpvjQ	Easy
Diameter of Binary Tree	https://leetcode.com/problems/diameter-of-binary-tree/	Trees	https://www.youtube.com/watch?v=DpyCkHMlxLc	Easy
Balanced Binary Tree	https://leetcode.com/problems/balanced-binary-tree/	Trees	https://www.youtube.com/watch?v=gu5rAEvm9Fk	Easy
Same Tree	https://leetcode.com/problems/same-tree/	Trees	https://www.youtube.com/watch?v=yi7ym5R5aYI	Easy
Subtree of Another Tree	https://leetcode.com/problems/subtree-of-another-tree/	Trees	https://www.youtube.com/watch?v=YOW_-ptARNE	Easy
Lowest Common Ancestor of a Binary Search Tree	https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/	Trees	https://www.youtube.com/watch?v=1HUmPsyFb9U	Medium
Binary Tree Level Order Traversal	https://leetcode.com/problems/binary-tree-level-order-traversal/	Trees	https://www.youtube.com/watch?v=Oy3g4SEKNw0	Medium
Binary Tree Right Side View	https://leetcode.com/problems/binary-tree-right-side-view/	Trees	https://www.youtube.com/watch?v=4lMY-g0Afg8	Medium
Count Good Nodes In Binary Tree	https://leetcode.com/problems/count-good-nodes-in-binary-tree/	Trees	https://www.youtube.com/watch?v=AiCPoU8q2sU	Medium
Validate Binary Search Tree	https://leetcode.com/problems/validate-binary-search-tree/	Trees	https://www.youtube.com/watch?v=QaCMLopSwWI	Medium
Kth Smallest Element In a Bst	https://leetcode.com/problems/kth-smallest-element-in-a-bst/	Trees	https://www.youtube.com/watch?v=tAUB05a6ys4	Medium
Construct Binary Tree From Preorder And Inorder Traversal	https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/	Trees	https://www.youtube.com/watch?v=YYl2Tp-Wqcw	Medium
Binary Tree Maximum Path Sum	https://leetcode.com/problems/binary-tree-maximum-path-sum/	Trees	https://www.youtube.com/watch?v=6wv9yMSenvQ	Hard
Serialize And Deserialize Binary Tree	https://leetcode.com/problems/serialize-and-deserialize-binary-tree/	Trees	https://www.youtube.com/watch?v=vqbpTOU-LS4	Hard
Implement Trie Prefix Tree	https://leetcode.com/problems/implement-trie-prefix-tree/	Tries	https://www.youtube.com/watch?v=nLTqtBLhPbQ	Medium
Design Add And Search Words Data Structure	https://leetcode.com/problems/design-add-and-search-words-data-structure/	Tries	https://www.youtube.com/watch?v=Z7Kr2b4d9fE	Medium
Word Search II	https://leetcode.com/problems/word-search-ii/	Tries	https://www.youtube.com/watch?v=8K2Sh9ingJA	Hard
Kth Largest Element In a Stream	https://leetcode.com/problems/kth-largest-element-in-a-stream/	Heap / Priority Queue	https://www.youtube.com/watch?v=i7Mt70QERw4	Easy
Last Stone Weight	https://leetcode.com/problems/last-stone-weight/	Heap / Priority Queue	https://www.youtube.com/watch?v=xq4RoS0vVfM	Easy
K Closest Points to Origin	https://leetcode.com/problems/k-closest-points-to-origin/	Heap / Priority Queue	https://www.youtube.com/watch?v=RLyF_-4Izg0	Medium
Kth Largest Element In An Array	https://leetcode.com/problems/kth-largest-element-in-an-array/	Heap / Priority Queue	https://www.youtube.com/watch?v=kmUL7CAOSwc	Medium
Task Scheduler	https://leetcode.com/problems/task-scheduler/	Heap / Priority Queue	https://www.youtube.com/watch?v=IcjlqToRGWI	Medium
Design Twitter	https://leetcode.com/problems/design-twitter/	Heap / Priority Queue	https://www.youtube.com/watch?v=esZ4vvjwW6E	Medium
Find Median From Data Stream	https://leetcode.com/problems/find-median-from-data-stream/	Heap / Priority Queue	https://www.youtube.com/watch?v=IKpM6Q8wTIY	Hard
Subsets	https://leetcode.com/problems/subsets/	Backtracking	https://www.youtube.com/watch?v=OQKWzRJYtwg	Medium
Combination Sum	https://leetcode.com/problems/combination-sum/	Backtracking	https://www.youtube.com/watch?v=dJBbuDK4ZRk	Medium
Permutations	https://leetcode.com/problems/permutations/	Backtracking	https://www.youtube.com/watch?v=_tgwDDWuU-Q	Medium
Subsets II	https://leetcode.com/problems/subsets-ii/	Backtracking	https://www.youtube.com/watch?v=GPigeECXWZE	Medium
Combination Sum II	https://leetcode.com/problems/combination-sum-ii/	Backtracking	https://www.youtube.com/watch?v=I6f8Za0vRxE	Medium
Word Search	https://leetcode.com/problems/word-search/	Backtracking	https://www.youtube.com/watch?v=8K2Sh9ingJA	Medium
Palindrome Partitioning	https://leetcode.com/problems/palindrome-partitioning/	Backtracking	https://www.youtube.com/watch?v=NWe3W2bMVAU	Medium
Letter Combinations of a Phone Number	https://leetcode.com/problems/letter-combinations-of-a-phone-number/	Backtracking	https://www.youtube.com/watch?v=dmYiOfy8a-k	Medium
N Queens	https://leetcode.com/problems/n-queens/	Backtracking	https://www.youtube.com/watch?v=MOrMPEq6P5w	Hard
Number of Islands	https://leetcode.com/problems/number-of-islands/	Graphs	https://www.youtube.com/watch?v=H-2Nh2RXX6g	Medium
Clone Graph	https://leetcode.com/problems/clone-graph/	Graphs	https://www.youtube.com/watch?v=1aN0WWM0-Eo	Medium
Max Area of Island	https://leetcode.com/problems/max-area-of-island/	Graphs	https://www.youtube.com/watch?v=Dy-M-Suk8nk	Medium
Pacific Atlantic Water Flow	https://leetcode.com/problems/pacific-atlantic-water-flow/	Graphs	https://www.youtube.com/watch?v=fTohawuMcvY	Medium
Surrounded Regions	https://leetcode.com/problems/surrounded-regions/	Graphs	https://www.youtube.com/watch?v=yaBaE4fo6wA	Medium
Rotting Oranges	https://leetcode.com/problems/rotting-oranges/	Graphs	https://www.youtube.com/watch?v=1BlwbFfgk-E	Medium
Walls And Gates	https://leetcode.ca/all/286.html	Graphs	https://www.youtube.com/watch?v=wYv60DTtsto	Medium
Course Schedule	https://leetcode.com/problems/course-schedule/	Graphs	https://www.youtube.com/watch?v=ge9WKEsVue0	Medium
Course Schedule II	https://leetcode.com/problems/course-schedule-ii/	Graphs	https://www.youtube.com/watch?v=_RWV4hZdmdk	Medium
Redundant Connection	https://leetcode.com/problems/redundant-connection/	Graphs	https://www.youtube.com/watch?v=ctMC5TPuVnM	Medium
Number of Connected Components In An Undirected Graph	https://leetcode.ca/all/323.html	Graphs	https://www.youtube.com/watch?v=o8z2tHYrg_o	Medium
Graph Valid Tree	https://www.lintcode.com/problem/178/	Graphs	https://www.youtube.com/watch?v=WU3-vo0MJW0	Medium
Word Ladder	https://leetcode.com/problems/word-ladder/	Graphs	https://www.youtube.com/watch?v=isLTjdCw52s	Hard
Reconstruct Itinerary	https://leetcode.com/problems/reconstruct-itinerary/	Advanced Graphs	https://www.youtube.com/watch?v=1_bfI1mi6mA	Hard
Min Cost to Connect All Points	https://leetcode.com/problems/min-cost-to-connect-all-points/	Advanced Graphs	https://www.youtube.com/watch?v=mvwrT2A4p60	Medium
Network Delay Time	https://leetcode.com/problems/network-delay-time/	Advanced Graphs	https://www.youtube.com/watch?v=QKRRjz4KMuE	Medium
Swim In Rising Water	https://leetcode.com/problems/swim-in-rising-water/	Advanced Graphs	https://www.youtube.com/watch?v=WYHvHkh9kHQ	Hard
Alien Dictionary		Advanced Graphs	https://www.youtube.com/watch?v=1QbsN5JyPto	Hard
Cheapest Flights Within K Stops	https://leetcode.com/problems/cheapest-flights-within-k-stops/	Advanced Graphs	https://www.youtube.com/watch?v=AVsymWOY6fc	Medium
Climbing Stairs	https://leetcode.com/problems/climbing-stairs/	1-D Dynamic Programming	https://www.youtube.com/watch?v=5mWBnYrdO70	Easy
Min Cost Climbing Stairs	https://leetcode.com/problems/min-cost-climbing-stairs/	1-D Dynamic Programming	https://www.youtube.com/watch?v=A3LYMRqAQeU	Easy
House Robber	https://leetcode.com/problems/house-robber/	1-D Dynamic Programming	https://www.youtube.com/watch?v=jFmfYi_dvwQ	Medium
House Robber II	https://leetcode.com/problems/house-robber-ii/	1-D Dynamic Programming	https://www.youtube.com/watch?v=c_rwra1aITY	Medium
Longest Palindromic Substring	https://leetcode.com/problems/longest-palindromic-substring/	1-D Dynamic Programming	https://www.youtube.com/watch?v=92KOT17h8zw	Medium
Palindromic Substrings	https://leetcode.com/problems/palindromic-substrings/	1-D Dynamic Programming	https://www.youtube.com/watch?v=WfkVe8egZbU	Medium
Decode Ways	https://leetcode.com/problems/decode-ways/	1-D Dynamic Programming	https://www.youtube.com/watch?v=ayGRvdnjFKg	Medium
Coin Change	https://leetcode.com/problems/coin-change/	1-D Dynamic Programming	https://www.youtube.com/watch?v=UOmlkfWMU6M	Medium
Maximum Product Subarray	https://leetcode.com/problems/maximum-product-subarray/	1-D Dynamic Programming	https://www.youtube.com/watch?v=OuRQ_TCCjsU	Medium
Word Break	https://leetcode.com/problems/word-break/	1-D Dynamic Programming	https://www.youtube.com/watch?v=XD9tXO9HW40	Medium
Longest Increasing Subsequence	https://leetcode.com/problems/longest-increasing-subsequence/	1-D Dynamic Programming	https://www.youtube.com/watch?v=cixz99yxgWA	Medium
Partition Equal Subset Sum	https://leetcode.com/problems/partition-equal-subset-sum/	1-D Dynamic Programming	https://www.youtube.com/watch?v=X50Rknzenus	Medium
Unique Paths	https://leetcode.com/problems/unique-paths/	2-D Dynamic Programming	https://www.youtube.com/watch?v=klWLMgdMWCY	Medium
Longest Common Subsequence	https://leetcode.com/problems/longest-common-subsequence/	2-D Dynamic Programming	https://www.youtube.com/watch?v=g9iNrsBR9BE	Medium
Best Time to Buy And Sell Stock With Cooldown	https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/	2-D Dynamic Programming	https://www.youtube.com/watch?v=PH5jUN1cNHo	Medium
Coin Change II	https://leetcode.com/problems/coin-change-ii/	2-D Dynamic Programming	https://www.youtube.com/watch?v=khIBdTrRggk	Medium
Target Sum	https://leetcode.com/problems/target-sum/	2-D Dynamic Programming	https://www.youtube.com/watch?v=9QqOX57nMAY	Medium
Interleaving String	https://leetcode.com/problems/interleaving-string/	2-D Dynamic Programming	https://www.youtube.com/watch?v=KXIK863L9tk	Medium
Longest Increasing Path In a Matrix	https://leetcode.com/problems/longest-increasing-path-in-a-matrix/	2-D Dynamic Programming	https://www.youtube.com/watch?v=gvwTGXP-reQ	Hard
Distinct Subsequences	https://leetcode.com/problems/distinct-subsequences/	2-D Dynamic Programming	https://www.youtube.com/watch?v=A5IBp1ldlik	Hard
Edit Distance	https://leetcode.com/problems/edit-distance/	2-D Dynamic Programming	https://www.youtube.com/watch?v=fnWskW9xaw4	Medium
Burst Balloons	https://leetcode.com/problems/burst-balloons/	2-D Dynamic Programming	https://www.youtube.com/watch?v=TfvN6rqDOT0	Hard
Regular Expression Matching	https://leetcode.com/problems/regular-expression-matching/	2-D Dynamic Programming	https://www.youtube.com/watch?v=VFQddcCP46c	Hard
Maximum Subarray	https://leetcode.com/problems/maximum-subarray/	Greedy	https://www.youtube.com/watch?v=nr2djEYM7_A	Medium
Jump Game	https://leetcode.com/problems/jump-game/	Greedy	https://www.youtube.com/watch?v=PVNLmjJaHW0	Medium
Jump Game II	https://leetcode.com/problems/jump-game-ii/	Greedy	https://www.youtube.com/watch?v=d_1GRnMg_zs	Medium
Gas Station	https://leetcode.com/problems/gas-station/	Greedy	https://www.youtube.com/watch?v=ENDr9IfRMMw	Medium
Hand of Straights	https://leetcode.com/problems/hand-of-straights/	Greedy	https://www.youtube.com/watch?v=ISHUyNJVq_M	Medium
Merge Triplets to Form Target Triplet	https://leetcode.com/problems/merge-triplets-to-form-target-triplet/	Greedy	https://www.youtube.com/watch?v=OVjB6kGr29g	Medium
Partition Labels	https://leetcode.com/problems/partition-labels/	Greedy	https://www.youtube.com/watch?v=TvWEYhHPO0w	Medium
Valid Parenthesis String	https://leetcode.com/problems/valid-parenthesis-string/	Greedy	https://www.youtube.com/watch?v=h5YxPLC4lWs	Medium
Insert Interval	https://leetcode.com/problems/insert-interval/	Intervals	https://www.youtube.com/watch?v=16YiKk6ga7Y	Medium
Merge Intervals	https://leetcode.com/problems/merge-intervals/	Intervals	https://www.youtube.com/watch?v=n3F2v9f8OfY	Medium
Non Overlapping Intervals	https://leetcode.com/problems/non-overlapping-intervals/	Intervals	https://www.youtube.com/watch?v=y8nBFmPsAF8	Medium
Meeting Rooms		Intervals	https://www.youtube.com/watch?v=5nqLIwo0oC0	Easy
Meeting Rooms II		Intervals	https://www.youtube.com/watch?v=sQkgNfoPrDw	Medium
Minimum Interval to Include Each Query	https://leetcode.com/problems/minimum-interval-to-include-each-query/	Intervals	https://www.youtube.com/watch?v=FZtDTYzVUhU	Hard
Rotate Image	https://leetcode.com/problems/rotate-image/	Math & Geometry	https://www.youtube.com/watch?v=dF1E3G9wBCw	Medium
Spiral Matrix	https://leetcode.com/problems/spiral-matrix/	Math & Geometry	https://www.youtube.com/watch?v=xUpnTpzMqfI	Medium
Set Matrix Zeroes	https://leetcode.com/problems/set-matrix-zeroes/	Math & Geometry	https://www.youtube.com/watch?v=JwQvyZcwcP4	Medium
Happy Number	https://leetcode.com/problems/happy-number/	Math & Geometry	https://www.youtube.com/watch?v=d5SvCvRmmww	Easy
Plus One	https://leetcode.com/problems/plus-one/	Math & Geometry	https://www.youtube.com/watch?v=1KIcZqCXNHU	Easy
Pow(x, n)	https://leetcode.com/problems/powx-n/	Math & Geometry	https://www.youtube.com/watch?v=OUKFuUkb4p0	Medium
Multiply Strings	https://leetcode.com/problems/multiply-strings/	Math & Geometry	https://www.youtube.com/watch?v=1Hftrgb30BQ	Medium
Detect Squares	https://leetcode.com/problems/detect-squares/	Math & Geometry	https://www.youtube.com/watch?v=1UooPSAHjfw	Medium
Single Number	https://leetcode.com/problems/single-number/	Bit Manipulation	https://www.youtube.com/watch?v=2LaOz13Y5qw	Easy
Number of 1 Bits	https://leetcode.com/problems/number-of-1-bits/	Bit Manipulation	https://www.youtube.com/watch?v=xx9vN3n0_SA	Easy
Counting Bits	https://leetcode.com/problems/counting-bits/	Bit Manipulation	https://www.youtube.com/watch?v=f9vCuICgRpU	Easy
Reverse Bits	https://leetcode.com/problems/reverse-bits/	Bit Manipulation	https://www.youtube.com/watch?v=-7bpRBMPXh8	Easy
Missing Number	https://leetcode.com/problems/missing-number/	Bit Manipulation	https://www.youtube.com/watch?v=-pLW7935dlc	Easy
Sum of Two Integers	https://leetcode.com/problems/sum-of-two-integers/	Bit Manipulation	https://www.youtube.com/watch?v=oQqe3N2aSd4	Medium
Reverse Integer	https://leetcode.com/problems/reverse-integer/	Bit Manipulation	https://www.youtube.com/watch?v=fZwClQfC3qU	Medium
